"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"HITECH","Hi-Tech Pipes Limited","Mr Vipul Bansal","10-FEB-2021 to 10-FEB-2021","0",,"837600","Reg29(2)","14-Feb-2021, 18-02"
"HITECH","Hi-Tech Pipes Limited","Mr Anish Bansal","10-FEB-2021 to 10-FEB-2021","0",,"1066600","Reg29(2)","14-Feb-2021, 18-02"
"STEL","Stel Holdings Limited","Hitesh Ramji Javeri, Harsha Hitesh Javeri, Amit Hitesh Javeri and Mitali Hitesh Javeri","11-NOV-2020 to 11-NOV-2020","15587",,"936388","Reg29(1)","14-Feb-2021, 18-02"
"BHAGERIA","Bhageria Industries Limited","Aditya V Bhageria","11-FEB-2021 to 11-FEB-2021","3011",,"94540","Reg29(2)","14-Feb-2021, 18-00"
"ROLTA","Rolta India Limited","Rolta Shares and Stocks Pvt Ltd","08-JAN-2021 to 08-JAN-2021",,"1000000","44600","Reg29(2)","14-Feb-2021, 18-00"
"ROLTA","Rolta India Limited","Rolta Shares and Stocks Pvt Ltd","29-DEC-2020 to 29-DEC-2020",,"7500000","1044600","Reg29(2)","14-Feb-2021, 17-58"
"ROLTA","Rolta India Limited","Rolta Private Limited","29-DEC-2020 to 29-DEC-2020",,"0","61736606","Reg29(2)","14-Feb-2021, 17-58"
"MAJESCO","Majesco Limited","Rajasthan Global Securities Pvt. Ltd.","11-FEB-2021 to 11-FEB-2021",,"950000","343932","Reg29(2)","14-Feb-2021, 17-56"
"MONTECARLO","Monte Carlo Fashions Limited","Kanchi Investments Limited","09-FEB-2021 to 09-FEB-2021",,"534238","1842332","Reg29(2)","14-Feb-2021, 17-56"
"SEYAIND","Seya Industries Limited","Beacon Trusteeship Limited","02-DEC-2019 to 11-MAY-2020",,"492582","1640630","Reg29(2)","13-Feb-2021, 15-00"
"TFCILTD","Tourism Finance Corporation of India Limited","Beacon Trusteeship Limited","05-JUL-2019 to 12-JUL-2019","7822000",,"7822000","Reg29(1)","13-Feb-2021, 15-00"
"TFCILTD","Tourism Finance Corporation of India Limited","Beacon Trusteeship Limited","19-JUN-2020 to 25-JUN-2020",,"1791243","6030757","Reg29(2)","13-Feb-2021, 14-58"
"NEULANDLAB","Neuland Laboratories Limited","Stadview Capital Mauritius Limited","22-JUN-2020 to 22-JUN-2020",,"270159","1000000","Reg29(2)","13-Feb-2021, 14-56"
"TFCILTD","Tourism Finance Corporation of India Limited","Beacon Trusteeship Limited","26-JUN-2020 to 29-JUN-2020",,"6030757","0","Reg29(2)","13-Feb-2021, 14-56"
"NEULANDLAB","Neuland Laboratories Limited","Stadview Capital Mauritius Limited","15-JUN-2020 to 15-JUN-2020",,"0","1270159","Reg29(2)","13-Feb-2021, 14-54"
"NEULANDLAB","Neuland Laboratories Limited","Steadview Capital Mauritius Limited","04-JUN-2020 to 04-JUN-2020",,"0","1270159","Reg29(2)","13-Feb-2021, 14-50"
"DIXON","Dixon Technologies (India) Limited","Steadview Capital Mauritius Limited","12-JUN-2020 to 12-JUN-2020",,"95157","273235","Reg29(2)","13-Feb-2021, 14-48"
"DELTACORP","Delta Corp Limited","SMALLCAP World Fund, Inc.","26-JUL-2019 to 26-MAR-2020",,"6659674","9578500","Reg29(2)","13-Feb-2021, 14-46"
"METROPOLIS","Metropolis Healthcare Limited","SMALLCAP World Fund, Inc.","15-APR-2020 to 20-APR-2020","1195519",,"3995946","Reg29(2)","13-Feb-2021, 14-46"
"CANFINHOME","Can Fin Homes Limited","Caladium Investment Pte. Ltd.","08-OCT-2020 to 08-OCT-2020",,"160438","12482533","Reg29(2)","13-Feb-2021, 14-42"
"CGPOWER","CG Power and Industrial Solutions Limited","Blue Daimond Properties P. Ltd.","17-AUG-2020 to 17-AUG-2020","41293778",,"41293778","Reg29(1)","13-Feb-2021, 14-42"
"WELCORP","Welspun Corp Limited","AADI FINANCIAL ADVISORS LLP","06-OCT-2020 to 06-OCT-2020",,"900000","12333918","Reg29(2)","13-Feb-2021, 14-38"
"DISHTV","Dish TV India Limited","Blue Daimond Properties P. Ltd.","18-SEP-2020 to 18-SEP-2020","5000000",,"96307725","Reg29(1)","13-Feb-2021, 14-36"
"MFSL","Max Financial Services Limited","IDBI Trusteeship Services Ltd","19-MAR-2020 to 19-MAR-2020","20534594",,"20534594","Reg29(1)","13-Feb-2021, 14-36"
"HINDNATGLS","Hindusthan National Glass & Industries Limited","Ironwood Investments Holdings","30-MAY-2019 to 12-JAN-2021",,"1793398","4554627","Reg29(2)","13-Feb-2021, 14-34"
"UFO","UFO Moviez India Limited","SBICAP Trustee Company Limited","24-AUG-2020 to 24-AUG-2020","2266417",,"2266417","Reg29(1)","13-Feb-2021, 14-34"
"ZENITHSTL","Zenith Steel Pipes & Industries Limited","Hitesh Ramji Javeri & Associates alongwith PAC's","24-DEC-2020 to 24-DEC-2020","66112",,"10192564","Reg29(2)","13-Feb-2021, 14-32"
"ADANIENT","Adani Enterprises Limited","SBICAP Trustee Company Limited","10-FEB-2021 to 10-FEB-2021",,"1718284","5481375","Reg29(2)","12-Feb-2021, 16-20"
"JKCEMENT","JK Cement Limited","Kalpana Singhania","10-FEB-2021 to 10-FEB-2021",,"5000","499263","Reg29(2)","12-Feb-2021, 16-20"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","HDFC Mutual Fund","10-FEB-2021 to 10-FEB-2021",,"8577712","29336503","Reg29(2)","11-Feb-2021, 20-16"
"SNOWMAN","Snowman Logistics Limited","Adani Logistics Limited","05-FEB-2021 to 09-FEB-2021",,"3548730","2991761","Reg29(2)","11-Feb-2021, 20-16"
"FELIX","Felix Industries Limited","Sagar Samir Shah","09-FEB-2021 to 09-FEB-2021",,"1898000","0","Reg29(2)","11-Feb-2021, 20-14"
"JKCEMENT","JK Cement Limited","Nidhipati Singhania","10-FEB-2021 to 10-FEB-2021","5000",,"38428","Reg29(2)","11-Feb-2021, 20-14"
"SILVERTUC","Silver Touch Technologies Limited","Vipul Thakkar","11-FEB-2021 to 11-FEB-2021","3000",,"2653510","Reg29(2)","11-Feb-2021, 20-14"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","Deutsche Bank AG Mumbai Branch onshore security agent on behalf of Deutsche Bank Aktiengesellschaft and Nomura Singapore Limited Lender and DB Trustees Hong Kong Limited offshore security agent on behalf of the Lenders","09-FEB-2021 to 09-FEB-2021","12000000",,"33690212","Reg29(1)","11-Feb-2021, 20-12"
"FELIX","Felix Industries Limited","Ritesh Vinay Patel","09-FEB-2021 to 09-FEB-2021","1898000",,"3636000","Reg29(2)","11-Feb-2021, 20-12"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C. Gandhi HUF","10-FEB-2021 to 10-FEB-2021","1500",,"37500","Reg29(2)","11-Feb-2021, 20-10"
"APARINDS","Apar Industries Limited","Kushal N Desai","10-FEB-2021 to 10-FEB-2021","160000",,"9208503","Reg29(2)","11-Feb-2021, 19-52"
"APARINDS","Apar Industries Limited","Chaitanya N Desai","10-FEB-2021 to 10-FEB-2021","94000",,"9058946","Reg29(2)","11-Feb-2021, 19-52"
"MAHICKRA","Mahickra Chemicals Limited","Ashishkumar Champaklal Gandhi HUF","10-FEB-2021 to 10-FEB-2021","1500",,"34500","Reg29(2)","11-Feb-2021, 17-24"
"TEXINFRA","Texmaco Infrastructure & Holdings Limited","Hardik B. Patel","10-FEB-2021 to 10-FEB-2021","549124",,"19427907","Reg29(2)","11-Feb-2021, 17-22"
"ADANITRANS","Adani Transmission Limited","Vistra ITCL (India) Limited","23-DEC-2020 to 08-FEB-2021",,"16810000","42771000","Reg29(2)","11-Feb-2021, 13-48"
"JITFINFRA","JITF Infralogistics Limited","Siddeshwari Tradex Pvt. Ltd. along with PAC","10-FEB-2021 to 10-FEB-2021","1956974",,"3002350","Reg29(2)","11-Feb-2021, 13-46"
"JSWHL","JSW Holdings Limited","Siddeshwari Tradex Pvt. Ltd. along with PAC","10-FEB-2021 to 10-FEB-2021","1258183",,"1258183","Reg29(1)","11-Feb-2021, 13-18"
"HEXATRADEX","Hexa Tradex Limited","Siddeshwari Tradex Pvt. Ltd. along with PAC","10-FEB-2021 to 10-FEB-2021","2499745",,"2499745","Reg29(1)","11-Feb-2021, 13-16"
"JINDALSTEL","Jindal Steel & Power Limited","Siddeshwari Tradex Pvt. Ltd. along with PAC","10-FEB-2021 to 10-FEB-2021","78484924",,"78484924","Reg29(1)","11-Feb-2021, 13-16"
"BHAGERIA","Bhageria Industries Limited","Mr. Aditya Bhageria","08-FEB-2021 to 08-FEB-2021","2000",,"91529","Reg29(2)","11-Feb-2021, 13-14"
"BHAGERIA","Bhageria Industries Limited","Vinod Bhageria","08-FEB-2021 to 08-FEB-2021","1000",,"9036","Reg29(2)","11-Feb-2021, 13-14"
"JINDALSAW","Jindal Saw Limited","Siddeshwari Tradex Pvt. Ltd.","10-FEB-2021 to 10-FEB-2021","24344770",,"37349255","Reg29(2)","11-Feb-2021, 13-14"
"JSWENERGY","JSW Energy Limited","Siddeshwari Tradex Pvt. Ltd. along with PAC","10-FEB-2021 to 10-FEB-2021","230932433",,"230932433","Reg29(1)","11-Feb-2021, 13-12"
"NSIL","Nalwa Sons Investments Limited","Siddeshwari Tradex Pvt. Ltd. along with PAC","10-FEB-2021 to 10-FEB-2021","693692",,"693692","Reg29(1)","11-Feb-2021, 13-10"
"DHANUKA","Dhanuka Agritech Limited","Pushpa Dhanuka Trust","08-FEB-2021 to 08-FEB-2021",,"0","5073762","Reg29(2)","11-Feb-2021, 13-08"
"DHANUKA","Dhanuka Agritech Limited","Triveni Trust","08-FEB-2021 to 08-FEB-2021",,"0","28425299","Reg29(2)","11-Feb-2021, 13-08"
"FELIX","Felix Industries Limited","Ritesh Patel","09-FEB-2021 to 09-FEB-2021","1898000",,"3636000","Reg29(1)","11-Feb-2021, 13-02"
"EMAMIREAL","Emami Realty Limited","Sneha Enclave Private Limited","08-FEB-2021 to 08-FEB-2021","6396728",,"14109150","Reg29(2)","11-Feb-2021, 12-58"
"EMAMIREAL","Emami Realty Limited","Sneha Gardens Private Limited","08-FEB-2021 to 08-FEB-2021","6876390",,"14109150","Reg29(2)","11-Feb-2021, 12-58"
"EMAMIPAP","Emami Paper Mills Limited","Sneha Gardens Private Limited","08-FEB-2021 to 08-FEB-2021","14526450",,"45358286","Reg29(2)","11-Feb-2021, 12-50"
"EMAMIPAP","Emami Paper Mills Limited","Sneha Enclave Private Limited","08-FEB-2021 to 08-FEB-2021","17103710",,"45358286","Reg29(2)","11-Feb-2021, 12-50"
"JSWSTEEL","JSW Steel Limited","Siddeshwari Tradex Pvt. Ltd along with PAC","10-FEB-2021 to 10-FEB-2021","77526180",,"84550760","Reg29(2)","11-Feb-2021, 12-42"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","Amalfiaco Limited","09-FEB-2021 to 09-FEB-2021",,"38000000","33667802","Reg29(2)","11-Feb-2021, 12-32"
"FORTIS","Fortis Healthcare Limited","East Bridge Capital Master Fund I Ltd and East Bridge Capital Master Fund Ltd","09-FEB-2021 to 09-FEB-2021",,"332952","35143579","Reg29(2)","11-Feb-2021, 12-28"
"KSHITIJPOL","Kshitij Polyline Limited","Preeti Aggarwal","05-FEB-2021 to 05-FEB-2021","16000",,"448000","Reg29(2)","11-Feb-2021, 12-28"
"EMAMILTD","Emami Limited","Sneha Gardens Private Limited","08-FEB-2021 to 08-FEB-2021","105720226",,"239393412","Reg29(2)","10-Feb-2021, 19-22"
"EMAMILTD","Emami Limited","Sneha Enclave Private Limited","08-FEB-2021 to 08-FEB-2021","98667956",,"239393412","Reg29(2)","10-Feb-2021, 19-22"
"MAHICKRA","Mahickra Chemicals Limited","Miteshkumar C Gandhi HUF","09-FEB-2021 to 09-FEB-2021","1500",,"36000","Reg29(2)","10-Feb-2021, 19-18"
"MAHICKRA","Mahickra Chemicals Limited","Ashishkumar C Gandhi","09-FEB-2021 to 09-FEB-2021","1500",,"1751123","Reg29(2)","10-Feb-2021, 19-18"
"MAHICKRA","Mahickra Chemicals Limited","Komal Miteshkumar Gandhi","09-FEB-2021 to 09-FEB-2021","1500",,"887113","Reg29(2)","10-Feb-2021, 19-18"
"INOXWIND","Inox Wind Limited","lnox Wind Energy Limited","09-FEB-2021 to 09-FEB-2021","0",,"166438669","Reg29(2)","10-Feb-2021, 19-16"
"MFSL","Max Financial Services Limited","IDBI Trusteeship Services Ltd","08-FEB-2021 to 08-FEB-2021",,"1941000","7393364","Reg29(2)","10-Feb-2021, 19-14"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","Deutsche Bank AG, Mumbai Branch onshore security agent on behalf of Deutsche Bank Aktiengesellschaft and Nomura Singapore Limited the Lenders  and DB Trustees Hong Kong Limited","08-FEB-2021 to 08-FEB-2021",,"50000000","21690212","Reg29(2)","10-Feb-2021, 19-12"
"MAJESCO","Majesco Limited","Rajasthan Global Securities Pvt Ltd","02-FEB-2021 to 09-FEB-2021",,"2139994","1293932","Reg29(2)","10-Feb-2021, 16-36"
"SPCENET","Spacenet Enterprises India Limited","Albula Investment Fund Ltd","05-FEB-2021 to 05-FEB-2021",,,"2832492","Reg29(2)","09-Feb-2021, 18-20"
"LINCOLN","Lincoln Pharmaceuticals Limited","Munjal Mahendrabhai Patel along with PAC","08-FEB-2021 to 09-FEB-2021","140000",,"1105500","Reg29(2)","09-Feb-2021, 18-18"
"LINCOLN","Lincoln Pharmaceuticals Limited","Ashish Rajanibhai Patel along with PAC","05-FEB-2021 to 05-FEB-2021","70000",,"599802","Reg29(2)","09-Feb-2021, 18-18"
"NBIFIN","N. B. I. Industrial Finance Company Limited","Mannakrishna Investments Pvt Ltd","08-FEB-2021 to 08-FEB-2021","114296",,"1589335","Reg29(2)","09-Feb-2021, 18-16"
"ZEEMEDIA","Zee Media Corporation Limited","Equity Intelligence India Pvt Ltd","05-FEB-2021 to 05-FEB-2021",,"2480042","14157241","Reg29(2)","09-Feb-2021, 18-16"
"NBIFIN","N. B. I. Industrial Finance Company Limited","Mannakrishna Investments Pvt Ltd","08-FEB-2021 to 08-FEB-2021","114296",,"1589335","Reg29(2)","09-Feb-2021, 18-14"
"SKFINDIA","SKF India Limited","Mirae Asset Mutual Fund","08-FEB-2021 to 08-FEB-2021","139591",,"2473655","Reg29(1)","09-Feb-2021, 18-14"
"TIRUPATI","Shree Tirupati Balajee FIBC Limited","Anant Agarwal along with PAC","05-FEB-2021 to 05-FEB-2021","30000",,"812628","Reg29(1)","09-Feb-2021, 18-12"
"COFORGE","Coforge Limited","White Oak Capital Management Consultants LLP on behalf of Funds PMS SMA managed or advised","05-FEB-2021 to 05-FEB-2021","100810",,"3035274","Reg29(1)","09-Feb-2021, 18-10"
"MAHICKRA","Mahickra Chemicals Limited","AshishKumar Campaklal Gandhi","08-FEB-2021 to 08-FEB-2021","1500",,"1749623","Reg29(2)","09-Feb-2021, 18-10"
"MAHICKRA","Mahickra Chemicals Limited","Chintan Ashishkumar Gandhi","08-FEB-2021 to 08-FEB-2021","1500",,"70500","Reg29(2)","09-Feb-2021, 18-10"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C Gandhi HUF","08-FEB-2021 to 08-FEB-2021","1500",,"34500","Reg29(2)","09-Feb-2021, 18-10"
"VIKASMCORP","Vikas Multicorp Limited","Albula Investment Fund Ltd","04-FEB-2021 to 04-FEB-2021",,"19400000","22950000","Reg29(2)","09-Feb-2021, 18-08"
"EMAMIPAP","Emami Paper Mills Limited","Sneha Gardens Private Limited","08-FEB-2021 to 08-FEB-2021","14526450",,"45358286","Reg29(1)","09-Feb-2021, 17-58"
"EMAMIPAP","Emami Paper Mills Limited","Sneha Enclave Private Limited","08-FEB-2021 to 08-FEB-2021","17103710",,"45358286","Reg29(1)","09-Feb-2021, 17-58"
"EMAMIREAL","Emami Realty Limited","Sneha Gardens Private Limited","08-FEB-2021 to 08-FEB-2021","6876390",,"14109150","Reg29(1)","09-Feb-2021, 17-56"
"EMAMIREAL","Emami Realty Limited","Sneha Enclave Private Limited","08-FEB-2021 to 08-FEB-2021","6396728",,"14109150","Reg29(1)","09-Feb-2021, 17-56"
"EMAMILTD","Emami Limited","Sneha Gardens Private Limited","08-FEB-2021 to 08-FEB-2021","105720226",,"239393412","Reg29(1)","09-Feb-2021, 17-12"
"EMAMILTD","Emami Limited","Sneha Enclave Private Limited","08-FEB-2021 to 08-FEB-2021","98667956",,"239393412","Reg29(1)","09-Feb-2021, 17-12"
"VIKASMCORP","Vikas Multicorp Limited","Vaibhav Garg","22-JAN-2021 to 03-FEB-2021",,"600000","7616","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Vinayak Garg","22-JAN-2021 to 03-FEB-2021",,"3000000","0","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Vivek Garg HUF","22-JAN-2021 to 03-FEB-2021",,"4698096","1904","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Sukriti Garg","22-JAN-2021 to 03-FEB-2021",,"250000","27507","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Usha Garg","22-JAN-2021 to 03-FEB-2021",,"1673925","609075","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Vikas Garg","22-JAN-2021 to 03-FEB-2021",,"3621458","111359851","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Nand Kishore Garg","22-JAN-2021 to 03-FEB-2021",,"251735","3072350","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Vinod Kumar Garg","22-JAN-2021 to 03-FEB-2021",,"2800000","41720","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Vinod Kumar Garg and Sons HUF","22-JAN-2021 to 03-FEB-2021",,"5100000","84781","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Shashi Garg","22-JAN-2021 to 03-FEB-2021",,"612000","68000","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Nand Kishore Garg HUF","22-JAN-2021 to 03-FEB-2021",,"250000","750","Reg29(2)","09-Feb-2021, 16-56"
"VIKASMCORP","Vikas Multicorp Limited","Namita Garg","22-JAN-2021 to 03-FEB-2021",,"246000","738","Reg29(2)","09-Feb-2021, 16-56"
"AWHCL","Antony Waste Handling Cell Limited","Massachusetts Institute of Technology","08-JAN-2021 to 05-FEB-2021","466181",,"1830000","Reg29(2)","09-Feb-2021, 16-08"
"AWHCL","Antony Waste Handling Cell Limited","238 Plan Associates LLP","08-JAN-2021 to 05-FEB-2021","109383",,"452000","Reg29(2)","09-Feb-2021, 16-08"
"SPCENET","Spacenet Enterprises India Limited","Barret Commodity Traders Private Limited","05-FEB-2021 to 05-FEB-2021",,,"2553616","Reg29(2)","09-Feb-2021, 11-12"
"POWERINDIA","ABB Power Products and Systems India Limited","Hitachi ABB Power Grids AG","05-FEB-2021 to 05-FEB-2021","31786256",,"31786256","Reg29(2)","09-Feb-2021, 11-08"
"SPCENET","Spacenet Enterprises India Limited","Barret Commodity Traders Private Limited","05-FEB-2021 to 05-FEB-2021","0",,"2553616","Reg29(2)","09-Feb-2021, 11-06"
"SHRENIK","Shrenik Limited","Kaivan Vimawala","05-FEB-2021 to 05-FEB-2021",,"30000","22634552","Reg29(2)","08-Feb-2021, 20-22"
"EIHOTEL","EIH Limited","Oberoi Holding Private Limited","05-FEB-2021 to 05-FEB-2021",,"6590110","30591518","Reg29(2)","08-Feb-2021, 20-20"
"POWERINDIA","ABB Power Products and Systems India Limited","ABB Asea","05-FEB-2021 to 05-FEB-2021",,"31786256","0","Reg29(2)","08-Feb-2021, 20-18"
"POWERINDIA","ABB Power Products and Systems India Limited","ABB Switzerland","05-FEB-2021 to 05-FEB-2021","0",,"179","Reg29(2)","08-Feb-2021, 20-18"
"POWERINDIA","ABB Power Products and Systems India Limited","ABB Ltd","05-FEB-2021 to 05-FEB-2021","31786256",,"31786256","Reg29(2)","08-Feb-2021, 20-18"
"POWERINDIA","ABB Power Products and Systems India Limited","ABB","05-FEB-2021 to 05-FEB-2021","31786256",,"31786256","Reg29(1)","08-Feb-2021, 20-14"
"MAJESCO","Majesco Limited","Third Alpha LLP, Third Edge Advisors LLP , Alpha Alternatives Multi Strategy Absolute Return Scheme & Alpha Alternatives Fund Advisors LLP","04-FEB-2021 to 04-FEB-2021",,"883600","733257","Reg29(2)","08-Feb-2021, 20-10"
"EIHOTEL","EIH Limited","Oberoi Hotels Private Limited","05-FEB-2021 to 05-FEB-2021","6590110",,"101328943","Reg29(2)","08-Feb-2021, 20-00"
"PAR","Par Drugs And Chemicals Limited","Falguni Vallabhbhai Savani","03-FEB-2021 to 03-FEB-2021","6000",,"1312976","Reg29(2)","08-Feb-2021, 20-00"
"WEWIN","WE WIN LIMITED","Pushpa Gupta","05-FEB-2021 to 05-FEB-2021","4000",,"10100","Reg29(2)","08-Feb-2021, 19-48"
"PCJEWELLER","PC Jeweller Limited","Balram Garg","04-FEB-2021 to 04-FEB-2021","70330000",,"204282100","Reg29(2)","08-Feb-2021, 19-40"
"SHRENIK","Shrenik Limited","Kaivan Vimawala","05-FEB-2021 to 05-FEB-2021",,"30000","22634552","Reg29(2)","08-Feb-2021, 19-40"
"POWERINDIA","ABB Power Products and Systems India Limited","Hitachi ABB Power Grids AG","05-FEB-2021 to 05-FEB-2021","31786256",,"31786256","Reg29(1)","08-Feb-2021, 19-38"
"INTELLECT","Intellect Design Arena Limited","White Oak Capital Management Consultants LLP on behalf of Funds PMS SMA managed or advised","05-FEB-2021 to 05-FEB-2021","113413",,"6686889","Reg29(1)","08-Feb-2021, 17-18"
"WEWIN","WE WIN LIMITED","Pushpa Gupta","05-FEB-2021 to 05-FEB-2021","4000",,"10100","Reg29(2)","08-Feb-2021, 17-18"
"KSHITIJPOL","Kshitij Polyline Limited","Preeti Aggarwal","05-FEB-2021 to 05-FEB-2021","16000",,"448000","Reg29(2)","08-Feb-2021, 13-40"
"MAHICKRA","Mahickra Chemicals Limited","Nimit Miteshkumar Gandhi","05-FEB-2021 to 05-FEB-2021","1500",,"60000","Reg29(2)","08-Feb-2021, 13-40"
"MAHICKRA","Mahickra Chemicals Limited","Nimit Miteshkumar Gandhi","04-FEB-2021 to 05-FEB-2021","1500",,"58500","Reg29(2)","08-Feb-2021, 13-40"
"MAHICKRA","Mahickra Chemicals Limited","Ashishkumar Champaklal Gandhi HUF","04-FEB-2021 to 05-FEB-2021","1500",,"1748123","Reg29(2)","08-Feb-2021, 13-40"
"SPCENET","Spacenet Enterprises India Limited","Meenavalli Usha Rani","05-FEB-2021 to 05-FEB-2021","81468173",,"87949119","Reg29(2)","08-Feb-2021, 13-40"
"SPCENET","Spacenet Enterprises India Limited","MeenavalliUsha Rani","05-FEB-2021 to 05-FEB-2021","81468173",,"87949119","Reg29(1)","08-Feb-2021, 13-38"
"MITTAL","Mittal Life Style Limited","DENIM FEB (MUMBAI) PRIVATE LIMITED MITTAL BRIJESHKUMAR JAGDISHKUMAR J.K. DENIM FAB PRIVATE LIMITED along with PAC","29-JAN-2021 to 04-FEB-2021",,"305000","4893166","Reg29(2)","08-Feb-2021, 10-52"
"CONFIPET","Confidence Petroleum India Limited","Confidence LPG Bottling Private Ltd","01-FEB-2021 to 05-FEB-2021","200482",,"5365023","Reg29(2)","08-Feb-2021, 10-50"
"CONFIPET","Confidence Petroleum India Limited","Essenn LPG Bottling Private Limited","01-FEB-2021 to 05-FEB-2021","448636",,"7377989","Reg29(2)","08-Feb-2021, 10-50"
"BHAGERIA","Bhageria Industries Limited","Aditya V Bhageria","04-FEB-2021 to 04-FEB-2021","1000",,"89529","Reg29(2)","08-Feb-2021, 10-44"
"ADANITRANS","Adani Transmission Limited","SBICAP Trustee Company Limited","11-JUN-2020 to 11-JUN-2020",,"3100000","5715011","Reg29(2)","06-Feb-2021, 11-30"
"HUBTOWN","Hubtown Limited","SICOM Ltd","09-SEP-2020 to 09-SEP-2020",,"0","8341097","Reg29(2)","06-Feb-2021, 11-30"
"VIVIMEDLAB","Vivimed Labs Limited","SBICAP Trustee Company Limited","13-JUL-2020 to 13-JUL-2020","5000",,"2326896","Reg29(2)","06-Feb-2021, 11-30"
"ASTRAL","Astral Poly Technik Limited","Steadview Capital Mauritius Limited along with PAC","13-NOV-2020 to 13-NOV-2020",,"97448","11830129","Reg29(2)","06-Feb-2021, 11-28"
"NEULANDLAB","Neuland Laboratories Limited","Steadview Capital Mauritius Limited","23-JUL-2020 to 23-JUL-2020",,"430000","570000","Reg29(2)","06-Feb-2021, 11-18"
"YAARII","Yaarii Digital Integrated Services Limited","Steadview Capital Mauritius Limited along with PAC","27-AUG-2020 to 27-AUG-2020",,"4973437","8253187","Reg29(2)","06-Feb-2021, 11-18"
"PGIL","Pearl Global Industries Limited","Bhavesh Shah Karta of Bhavesh Shah","13-JUL-2020 to 13-JUL-2020","9177",,"42621","Reg29(2)","06-Feb-2021, 11-16"
"PGIL","Pearl Global Industries Limited","Bhavesh Shah","13-JUL-2020 to 13-JUL-2020","900",,"13372","Reg29(2)","06-Feb-2021, 11-16"
"PGIL","Pearl Global Industries Limited","Chetan Shah HUF","13-JUL-2020 to 13-JUL-2020","0",,"943","Reg29(2)","06-Feb-2021, 11-16"
"PGIL","Pearl Global Industries Limited","Chetan Shah","13-JUL-2020 to 13-JUL-2020","2265",,"5343","Reg29(2)","06-Feb-2021, 11-16"
"PGIL","Pearl Global Industries Limited","Shrey Shah","13-JUL-2020 to 13-JUL-2020","0",,"7751","Reg29(2)","06-Feb-2021, 11-16"
"PGIL","Pearl Global Industries Limited","Krina Shah","13-JUL-2020 to 13-JUL-2020","14062",,"127101","Reg29(2)","06-Feb-2021, 11-16"
"PGIL","Pearl Global Industries Limited","Sanjiv Shah","13-JUL-2020 to 13-JUL-2020","320500",,"1559692","Reg29(2)","06-Feb-2021, 11-16"
"PGIL","Pearl Global Industries Limited","Sanjiv Shah HUF","13-JUL-2020 to 13-JUL-2020","88698",,"200656","Reg29(2)","06-Feb-2021, 11-16"
"ADANIENT","Adani Enterprises Limited","SBICAP Trustee Company Limited","11-JUN-2020 to 11-JUN-2020",,"3100000","12621659","Reg29(2)","06-Feb-2021, 11-10"
"JINDALSTEL","Jindal Steel & Power Limited","SBICAP Trustee Company Limited","12-AUG-2020 to 12-AUG-2020","43300393",,"86400393","Reg29(2)","06-Feb-2021, 11-10"
"ADANIPORTS","Adani Ports and Special Economic Zone Limited","SBICAP Trustee Company Limited","11-JUN-2020 to 11-JUN-2020",,"1000000","9871326","Reg29(2)","06-Feb-2021, 11-08"
"ASHOKLEY","Ashok Leyland Limited","Nippon Life India Trustee Limited","03-FEB-2021 to 03-FEB-2021",,"1499653","87414427","Reg29(2)","05-Feb-2021, 22-14"
"PPL","Prakash Pipes Limited","Shri Ved Prakash Agarwal","04-FEB-2021 to 04-FEB-2021","3500000",,"3590860","Reg29(2)","05-Feb-2021, 22-10"
